timestamp,Exchange Rate,close,open,high,low,volume,change,비트코인,업비트,bitcoin,coinbase
2021-08-05,1145.8,46848324.6,45535237.8,47381121.6,42808233.8,6430.0,2.85,52,57,74,8
2021-08-06,1143.5,48976105.0,46754284.5,49506689.0,45663385.5,6460.0,4.75,53,58,80,7
2021-08-07,1143.5,50987521.5,48976105.0,51102100.199999996,48557584.0,9320.0,4.11,73,73,87,7
2021-08-08,1143.5,50050995.0,50987521.5,51742231.5,49513550.0,8160.0,-1.84,65,68,88,7
2021-08-09,1142.3,52880493.9,49998471.0,53039502.059999995,48881301.6,10720.0,5.76,60,70,96,9
2021-08-10,1145.0,52225740.0,53003195.0,53441730.0,51117380.0,6370.0,-1.47,57,69,94,10
2021-08-11,1148.5,52309581.0,52385382.0,53663662.5,52093663.0,4320.0,-0.14,64,83,97,13
2021-08-12,1155.0,51308565.0,52605630.0,53343675.0,50576295.0,5640.0,-2.47,66,94,91,10
2021-08-13,1158.9,55444093.800000004,51481814.7,55471907.400000006,51311456.400000006,7390.0,7.7,66,77,83,9
2021-08-14,1158.9,54565647.6,55444093.800000004,55766268.00000001,53351120.400000006,4350.0,-1.58,67,81,84,8
2021-08-15,1158.9,54504225.900000006,54565647.6,54879709.50000001,52794848.400000006,3830.0,-0.11,67,74,81,8
2021-08-16,1158.9,53239866.00000001,54504225.900000006,55695575.1,52948982.1,6060.0,-2.32,67,82,80,9
2021-08-17,1167.8,52198324.4,53648732.0,55069944.6,51928562.6,6930.0,-2.7,61,77,77,9
2021-08-18,1174.9,52569725.6,52515680.2,54054564.220000006,52036321.00000001,5820.0,0.1,57,79,79,9
2021-08-19,1172.7,54841315.5,52471288.800000004,55187262.0,51589418.4,5970.0,4.52,58,76,78,8
2021-08-20,1174.5,57940434.0,54925492.5,57975669.0,54802170.0,6040.0,5.49,66,73,83,11
2021-08-21,1174.5,57395466.0,57940434.0,58471308.0,56716605.0,3920.0,-0.94,60,67,79,8
2021-08-22,1174.5,57860568.0,57395466.0,58122481.5,56518114.5,2750.0,0.81,54,63,79,8
2021-08-23,1176.7,58292541.300000004,57968948.800000004,59430763.21000001,57723018.5,5420.0,0.56,70,84,100,12
2021-08-24,1174.0,56016236.0,58158786.0,58532118.0,55887096.0,4770.0,-3.68,73,100,83,12
2021-08-25,1168.0,57219152.0,55729952.0,57516992.0,55080544.0,4120.0,2.67,67,77,81,9
2021-08-26,1166.5,54629528.0,57145668.5,57607602.5,54091421.55,6480.0,-4.4,56,72,76,8
2021-08-27,1168.1,57325792.41,54704459.199999996,57422627.9,54158839.69,5800.0,4.79,59,73,73,9
2021-08-28,1168.1,57136443.4,57325792.41,57599010.99999999,56536039.99999999,2300.0,-0.33,55,64,68,9
2021-08-29,1168.1,57003279.99999999,57136443.4,57996164.99999999,55886576.4,4050.0,-0.23,62,71,63,7
2021-08-30,1170.8,55036966.4,57135040.0,57270501.559999995,54915203.199999996,4120.0,-3.67,54,70,70,8
2021-08-31,1164.4,54909610.800000004,54736115.2,56171820.400000006,54406590.00000001,4300.0,0.32,54,76,67,9
